id,province,population,x_coord,y_coord,latitude,longitude,name
24038,2,21195,170009.22875,177380.479768519,50.9050355916667,4.654275825,HERENT
24041,2,6530,186098.059666667,163560.931333333,50.8000366666667,4.93241066666667,HOEGAARDEN
24043,2,9849,179138.507222222,179477.589444444,50.9269507277778,4.77620123888889,HOLSBEEK
24045,2,9725,167256.798181818,163970.921363636,50.7886645363636,4.61561846363636,HULDENBERG
24048,2,13922,169870.475555556,188393.503888889,51.0057936,4.6320416,KEERBERGEN
24054,2,8247,195906.288157895,175295.859473684,50.8750480631579,4.99461282105263,KORTENAKEN
24055,2,19697,163674.363142857,175501.923571429,50.8909802771429,4.5618213,KORTENBERG
24059,2,15990,199053.162045455,160852.838409091,50.7524346886364,5.06881637045455,LANDEN
24062,2,101964,173931.717086957,174757.824,50.8669814313043,4.71192837478261,LEUVEN
24066,2,15518,181320.468181818,175143.864545455,50.8845254909091,4.81067163636364,LUBBEEK
24086,2,12091,172601.0925,168331.978,50.82680259,4.682177885,OUD-HEVERLEE
24094,2,16404,175902.71,182839.185185185,50.9568319518519,4.72336037407407,ROTSELAAR
24104,2,22014,161697.364264706,168589.795294118,50.8282328117647,4.52050626764706,TERVUREN
24107,2,35154,190387.007758621,166923.270862069,50.8077383482759,4.93881407241379,TIENEN
24109,2,15418,175155.655714286,187594.435714286,50.9891984142857,4.73157623571429,TREMELO
24130,2,8822,201510.312,170093.396666667,50.83131316,5.11246597333333,ZOUTLEEUW
24133,2,7825,197428.996176471,167756.383823529,50.8181371647059,5.04627097647059,LINTER
24134,2,24747,192046.213947368,187661.891710526,51.0012636973684,4.97245473947368,SCHERPENHEUVEL
24135,2,11206,187024.847954545,179107.829545455,50.9234452409091,4.89160051363636,TIELT
24137,2,5565,190909.642333333,173167.969,50.8674827066667,4.94080562,GLABBEEK
25005,2,6806,177582.1743,163047.7677,50.77990726,4.747128885,BEAUVECHAIN
25014,2,40080,149435.7615,151884.51075,50.6757024766667,4.36619461833333,BRAINE
25015,2,10028,144128.9276,152227.5488,50.6730635,4.265074564,BRAINE-LE-CHATEAU
25018,2,11657,172345.457982456,153391.453026316,50.6885478526316,4.69576022105263,CHAUMONT-GISTOUX
25023,2,9703,163502.393181818,146882.476363636,50.6209493,4.5598691,COURT-SAINT-ETIENNE
25031,2,15249,156934.670714286,144869.309183673,50.6075248510204,4.46473803265306,GENAPPE
25037,2,13055,172149.056595745,159679.447021277,50.7490228787234,4.69038691276596,GREZ-DOICEAU
25043,2,4539,179454.436458333,155094.546875,50.6938251125,4.80096585833333,INCOURT
25044,2,6256,141578.235416667,147973.042916667,50.6487749291667,4.26162677083333,ITTRE
25048,2,12277,184588.48097561,157546.164390244,50.7273126731707,4.85732617317073,JODOIGNE
25050,2,7590,157677.015833333,158118.253333333,50.7309955,4.4856707,LA HULPE
25068,2,6872,168097.162857143,147390.424642857,50.6306207571429,4.62263955,MONT-SAINT-GUIBERT
25072,2,26591,147102.871891892,143230.427297297,50.5987245783784,4.33518127567568,NIVELLES
25084,2,7757,180017.452727273,147437.363636364,50.6372264590909,4.78949645454545,PERWEZ
25091,2,23070,161165.812173913,156669.78826087,50.7207928565217,4.52364733478261,RIXENSART
25105,2,23700,138184.089305556,152988.483611111,50.6859816277778,4.20385764444444,TUBIZE
25107,2,9938,161343.080862069,139534.547298851,50.5659199586207,4.52994165172414,VILLERS-LA-VILLE
25110,2,31003,152194.843870968,155337.857741935,50.71469,4.3991,WATERLOO 
25112,2,34636,165992.514181818,155437.211818182,50.7078903854545,4.59454279090909,WAVRE
25117,2,7169,168377.123695652,142509.580434783,50.5928864608696,4.62901444782609,CHASTRE
